Java Full-stack Leader,"['Top 3 Reasons To Join Us Sustainable growth - no probation\nTet sign-on bonus\nWork with the latest technologies', 'Job Description Report to the CTO,  you will utilize your technical expertise and people skills to lead, coach and mentor a cross-functional team of engineers as they build, deploy, and iterate our unique  product.\nHave technical authority for the building of robust designs and solid architecture created by our team of exceptional engineers.\nOwn the technical roadmap, collaborating with our innovative product Managers to develop features.\nResponsible for the day to day management of your team and participate actively in the production and deployment of code.\nWork closely with leaders across the business, exceptionally closely with the Product Managers and  other Technical Leads to provide unified technical direction and guidance, and engage in strategy and planning activities.\nCollaborate with fellow developers and stakeholders to ensure Sonder systems and apps address the needs of the business and the end-users.\nWork with a great team of dedicated engineers in a dynamic, collaborative environment.\nManage the software development life-cycle and maintenance of software applications for a range of internal and external stakeholders.', 'Your Skills and Experience Enthusiastic and passionate engineering leader, who has worked in highly agile and fast paced product development environments, and has led the development of high scale product platforms.\nExcellent Java skills, with deep knowledge of how to build scalable, secure and maintainable backend systems.\nExperienced at leading the design and development of complex systems, and mentoring and developing more junior engineers.\nMandatory: In depth knowledge of software engineering principles and systems design including architecture patterns.\nProven track record of delivering high quality work and driving forward best practices across teams.\nExperienced in coaching and mentoring more junior employees.\nGood English communication skill is a must (both verbal & written), especially in the global software development environment.', ""Why You'll Love Working Here We don’t just offer you a job but also ...\nSustainable growth with no probation\nA solid team behind you - great people who love what they do\nRegular English, soft skills, technical training, and professional certification programs\nPremium insurance program\nRegular tech talks and webinar\nLots of teambuilding and entertainment activities\nA feel-like-home workplace decked out with Apple & Dell tools and equipment\nTet bonus\nFlexible annual leave schedule\nReferral Bonus Program\nRecognition awards for teams and individuals\nModern working place and office facilities\nAccess to global opportunities\nOption to work in office or remotely\nAnd much more !""]","364 Cong Hoa, Tan Binh, Ho Chi Minh See map",Positive Thinking Company (B.O.T),Positive Thinking Company is a global independent tech consultancy group.,"Product
301-500
Monday - Friday
Belgium
No OT",Sign in to view,4 hours ago
Senior Java Developer,"['Top 3 Reasons To Join Us No probation\nCollaborate with great people\nThe latest technologies', 'Job Description Design, develop, review, implement, and manage Java applications and services for the production and pre-release environments.\nDesign, develop, review, implement, and manage continuous integration, build management and deployment scripts, systems, and any code as required.\nParticipate in Agile software development, prototyping, and code review with international development teams to build scalable microservices-based products and APIs using Java technologies on AWS Cloud architecture.\nFully understand the requirements of the customer or business and utilize this knowledge to develop applications that are consistent with this.\nWork with delivery teams to achieve success through development using CI/CD and DevOps practices, processes, and tooling.\nProvide robust coding practices, solid unit/component test coverage, and debugging code.', 'Your Skills and Experience 5+ years of hands-on experience in designing, developing, testing and deploying applications on Java for large scale applications.\nStrong experience in Java Technologies and building Java based services with relational databases.\nExperience in designing & developing RESTful APIs and microservices-based systems.\nExperience in Cloud computing (Amazon Web Services).\nWell versed with Agile methodologies, TDD and Test Engineering and Automation.\nWell-versed in writing structured, well-documented, maintainable, and clean code.\nAbility to work in a complex development environment and handle dependencies across multiple teams and branches.\nStrong English communication skills (both verbal & written), especially in the global software development environment.\nA passion for working within a team and the ability to work more autonomously from time to time.', ""Why You'll Love Working Here Here at the Viator team, we don’t just offer you a job, we offer you your future. Here’s your chance to get your hands on…\nSustainable growth - no probation\nThe latest technologies for product development\nThe finest IT tools to raise your potential to even greater heights\nThe power to deliver truly awesome products\nProfessional training and certification programs\nEnglish training with a native English teacher\nFlexible schedules, great benefits and bonuses\nPrivate health care program\nAccess to global opportunities""]","Etown 364 Cong Hoa, Tan Binh, Ho Chi Minh See map","Viator, a Tripadvisor company, in partnership with Positive Thinking Company",A market-leading destination tours and activities provider,"Product
1-50
Monday - Friday
Australia
No OT",Sign in to view,5 hours ago
"Senior Java Engineer (NodeJS, Spring)","['Top 3 Reasons To Join Us Product Company: App Security, Data Security\nEnglish fully with multi-cultural colleagues\nChances for travelling, such benefits of leaves', ""Job Description Summary of V-Key\nV-Key is one of the world’s leading deep-tech companies in mobile cyber-security. Our patented technology V-OS has been deployed by top banks, mobile payment providers, and governments to secure software solutions and protect more than 100 million users globally.\nWe are rapidly expanding into new markets and new customer segments. Apart from securing digital transactions for everyone, we are also enabling new generation technology by providing the cyber-security infrastructure for banking, government and smart homes, among many others.\nAt V-Key, we are building towards a future where technology users can enjoy unprecedented security and convenience.\nWe are looking for a Senior Software Engineer (Backend) as part of the Engineering Department.\n Duties and Responsibilities\nDevelop and launch feature of cloud products and extend platform functionality\nJoin with team to design and work out effective system architecture of products\nJoin with team to investigate and work out solution for issues, trouble shootings\nWork collaboratively with product management, UX designer, governance and your scrum team to design and deliver new and innovative customer solutions.\nBring to bear your experience leveraging best in class tools and technologies (CI/CD, cloud computing, web service development) to refine and improve software development practices for your team.\nEngage in innovative problem-solving activities, requiring conceptual thinking creating 'out of the box' solutions with prototypes and pilots.\nUtilize Test Driven Development (TDD) practices to ensure delivery of high-quality code with low rates of production defects.\nInstrument services and solutions to ensure deployed software is scalable and reliable."", 'Your Skills and Experience Requirements\n4 - 8 years of experience in building software by JAVA technologies\nExperience in Java Application Stack - Core Java/J2EE/EJB/RESTful Web Services/CSS/HTML, develop and implement RESTful APIs\nExperience in building software with React/NodeJS, Java/J2EE, MySQL/Posgree or MongoDB/NoSQL\nExperience with Spring boot, Spring Cloud Micro services, Spring MVC architecture would be a Big Plus\nExperience with distributed systems, coaching and persistence solutions\nExperience building localized, multi-tenant solutions\nExcellent at interpersonal communication with strong verbal / written English skills\nAbility to troubleshoot and identify the root cause of issues under time pressure\nAbility to effectively articulate technical challenges and solutions\nDemonstrated skill and passion for operational excellence\nGood to have experience with cloud platform, cyber security domain.', ""Why You'll Love Working Here Macbook Pro laptop for working\nBase salary package\nAnnual leaves with 14 days at the beginning and insurance types following by the Labour Code\nFlexi benefits with 3 mil VND per year\nTypes of leaves as per organization’s policy (birthday leave, personal leave, medical leave and monthly work from home)\nVarious gifts/supports on Vietnamese Public Holidays\nPerformance based reward and recognition\nHealthcare package, sponsored football clubs, company trip, and team building (x3)\nDynamic, young and friendly environment with enjoyable staffs activities""]","Floor 3, Republic Plaza, 18E Cong Hoa, Ward 4, Tan Binh Dist., HCMC, Tan Binh, Ho Chi Minh See map",V-KEY Pte.,V-Key is one of the world’s leading deep-tech companies in mobile cyber-security.,"Product
51-150
Monday - Friday
Singapore
No OT",Sign in to view,6 hours ago
"Sr Fullstack Developer (Java, ReactJS)","['Top 3 Reasons To Join Us No probation\nCollaborate with great people\nThe latest technologies', 'Job Description Design, develop, review, implement, and manage Java applications and services for the production and pre-release environments.\nDesign, develop, review, implement, and manage continuous integration, build management and deployment scripts, systems, and any code as required.\nParticipate in Agile software development, prototyping, and code review with international development teams to build scalable microservices-based products and APIs using Java technologies on AWS Cloud architecture.\nFully understand the requirements of the customer or business and utilize this knowledge to develop applications that are consistent with this.\nWork with delivery teams to achieve success through development using CI/CD and DevOps practices, processes, and tooling.\nProvide robust coding practices, solid unit/component test coverage, and debugging code.', 'Your Skills and Experience 5+ years of hands-on experience in designing, developing, testing and deploying applications on Java for large scale applications.\n3 years in frontend development using one JavaScript frameworks like ReactJS (preferred) or AngularJS.\nProficiency in HTML, CSS, responsive designs.\nStrong experience in Java Technologies and building Java based services with relational databases.\nExperience in designing & developing RESTful APIs and microservices-based systems.\nExperience in Cloud computing (Amazon Web Services).\nWell versed with Agile methodologies, TDD and Test Engineering and Automation.\nWell-versed in writing structured, well-documented, maintainable, and clean code.\nAbility to work in a complex development environment and handle dependencies across multiple teams and branches.\nStrong English communication skills (both verbal & written), especially in the global software development environment.\nA passion for working within a team and the ability to work more autonomously from time to time.', ""Why You'll Love Working Here Here at the Viator team, we don’t just offer you a job, we offer you your future. Here’s your chance to get your hands on…\nSustainable growth - no probation\nThe latest technologies for product development\nThe finest IT tools to raise your potential to even greater heights\nThe power to deliver truly awesome products\nProfessional training and certification programs\nEnglish training with a native English teacher\nFlexible schedules, great benefits and bonuses\nPrivate health care program\nAccess to global opportunities""]","Etown 364 Cong Hoa, Tan Binh, Ho Chi Minh See map","Viator, a Tripadvisor company, in partnership with Positive Thinking Company",A market-leading destination tours and activities provider,"Product
1-50
Monday - Friday
Australia
No OT",Sign in to view,7 hours ago
Java Backend Developer (Up to 60M) G3,"['Top 3 Reasons To Join Us Phát triển sự nghiệp với nhiều dự án lớn\nTham gia các dự án công nghệ trong và ngoài nước\nThu nhập hấp dẫn cùng những đại ngộ toàn diện', 'Job Description Design, build, and maintain efficient, reusable, and reliable Java code\nEnsure the best possible performance, quality, and responsiveness of the applications\nIdentify bottlenecks and bugs, and devise solutions to these problems\nHelp maintain code quality, organization, and automatization\nWrite well designed, testable, efficient code', 'Your Skills and Experience Requires a bachelor’s degree (preferably in Computer Science).\nAt least 1-year technical experience and knowledge in Java/ J2EE Framework\nSolid understanding of object-oriented programming\nSkill for writing reusable Java libraries\nKnowledge of concurrency patterns in Java\nExperience with concepts of MVC, JDBC, and RESTful\nImplementing automated testing platforms and unit tests\nProficient understanding of code versioning tools, such as Git\nFamiliarity with Springboot, Spring MVC\nFamiliarity with RDBMS: MySQL, PostgreSQL\nGood at communication skills', ""Why You'll Love Working Here Online interview accepted\nSalary Up to 60M \nPackage 14 salary month based on KPI\nExtra package upto 16M/ year\nYoung and dynamic working environment.\nContinuous development of hard and soft skills through work and professional trainings.\nOpportunity to approach newest technology trends\nExciting leisure: sport and art events (football club, family day…)\nCompany’s labor policy completely pursuant to Vietnamese labor legislation plus other benefits offered by the company (Company trip, Holiday, etc.)""]","Tầng 8-9, tòa nhà CMC, 11 Duy Tân, phường Dịch Vọng Hậu, quận Cầu Giấy, Hà Nội, Cau Giay, Ha Noi See map",CMC Global,"CMC GLobal, a member of CMC Corporation","Outsourcing
151-300
Monday - Friday
Vietnam",Sign in to view,"Tầng 3, ITD Building, 1 đường Sáng Tạo, phường Tân Thuận, District 7, Ho Chi Minh See map"
"Java Developer (J2EE, SQL)","['Top 3 Reasons To Join Us Friendly, fun colleagues\nLearning korean language with native speakers\nNice and kind and open minded boss', 'Job Description •          You will contribute to the overall component design and play a key role in implementing features.\n•           Designs, develops and tests specific component features and functions, prepares functional specifications, and builds prototypes.\n•           Works on multiple highly complex major tasks requiring innovative solutions including security, scalability and performance requirements.\n•           Ensures proper test coverage exists based on requirements and design specifications. Write tests for existing and created code to ensure compatibility and stability\n •          Design and implement features based on wirtten specification.\n•           Participate in designing, developing, testing and building component features\n•           Work on multiple highly complex major tasks requiring innovative solutions including security, scalability and performance requirements.\n•           Ensure proper test coverage exists based on requirements and design specifications. Write tests for existing and created code to ensure compatibility and stability', 'Your Skills and Experience Must have:\n•           Advanced working SQL knowledge and experience working with relational databases, such as Oracle, MySQL or PostgresSQL.\n•           Proficiency in SQL, procedures, functions, packages, handle database with millions of records.\n•           From 3 years to 5 years of Java/J2EE software development experience.\n•           Strong experience of Spring, Spring security.\n•           Strong proficiency in programming languages, databases, web technologies, and RESTFUL, API integration techniques.\n•           Experience supporting and working with cross-functional teams in a dynamic environment.\nNice to have:\n•           Experience with purchasing, sales, tickets booking systems.\n•           Experience set up and configure Redhad Linux OS.\n•           Experience in design patterns, SOLID design, clean code.\n•           Experience from scratch with set up JBoss Application Server.\n•           Ability to research, adapt quickly to new technologies.\n•           Nice to have knowledge of MyBatis.', ""Why You'll Love Working Here •           Private healthcare Insurance\n•          Lunch, parking, telephone allowance\n•          Annual health check""]","Lầu 3, tòa nhà 362/19 đường Ung Văn Khiêm, Phường 25, Binh Thanh, Ho Chi Minh See map",CSPI Việt Nam,"Công ty TNHH CSPI Việt Nam là công ty có vốn 100% vốn đầu tư nước ngoài,","Outsourcing
1-50
Monday - Friday
Korea, Republic of
No OT",Sign in to view,9 hours ago
Backend Technical Leader (Java),"['Top 3 Reasons To Join Us Excellent environment and team to help you grow.\nCompetitive salary and learning culture\nFortnightly and Monthly Fun Activities', 'Job Description The Technical Leader will drive the efficient delivery of change through analysis, definition, and documentation of requirements whilst identifying potential solutions using agile delivery frameworks.\n What you’ll be doing\nWork in small, highly collaborative agile teams. You and the team will have a clear mission and ownership of an important outcome that support Tyme and our customers.\nAlign with stakeholders across Tyme on best practices around APIs, security, compliance, roadmap, and reliability.\nHelp drive technical direction of software features.\nBuild highly scalable, reliable, and maintainable APIs to handle high-volume transactions.\nWe aim for teams that are inclusive, helpful, and have a strong sense of ownership for the things they build.\nAt Tyme, we optimize for quality, flow, fast feedback, focusing on end-to-end ownership, continuous improvement, testing, monitoring, and experimentation. We’re looking for positive and passionate people who will put teamwork and collaboration above all else.', 'Your Skills and Experience You should have:\nA pragmatic mindset.\nKnowledge of professional software engineering practices for the full development life cycle (coding standards, code reviews, source control management, build processes, testing, operation, monitoring, etc.).\nWith at least 8+ years’ experience working in software development, we also welcome strong candidates having fewer years of experience.\nPreferably with 3+ years of experience in Java. We also welcome other general purpose programming languages, but not limit to Java.\nUnderstanding of system design and tuning for high performance, scalability and reliability.\nStrong database and schema design for large-scale and finance systems.\nGreat problem-solving abilities.\nExperience with microservices architecture.\nExperience with event-driven architecture or message queue system\nProfessional experience working with cloud (either AWS, Azure or GCP).\nExperience in enterprise architecture.\nWorking proficiency in English.\nQualifications:\nThe ability to work and live in Ho Chi Minh City\nB.Sc or M.Sc in Computer Science or a related discipline with proven “hands-on” development experience', ""Why You'll Love Working Here We pride ourselves on being cutting edge and stretching the limits of all our personnel - whether you are a mobile engineer, in quality assurance or a technical lead architect in our team. Our engineering teams form a cohesive, collaborative and motivated community that delivers innovative solutions to our businesses in Asia and Africa.\nYou’ll love working with us if you are:\nPassionate about technology\nIndependent but also a good team player\nComfortable with high degree of ambiguity\nFocused on usability and speed\nKeen on presenting your ideas to your peers and management\nAt TYME Global opportunities are here for the taking. If want to be part of our purpose and live and lead through our values, we can offer exciting development opportunities through expanded lateral roles, stretch assignments or people leadership.\nSome of our benefits:\nMeal and parking allowance covered by company.\nFull benefits and salary rank during probation.\nInsurances as Vietnamese labor law and premium health care for you and your family.\nSMART goals and clear career opportunities (technical seminar, conference and career talk) - we focus on your development.\nValues driven, international working environment and agile culture.\nOverseas travel opportunities for training and working related.\nInternal Hackathons and company's events (team building, coffee run, blue card...)\n13th-month salary and performance bonus.\n15-day annual + 3-day sick leave per year from company.\nWork-life balance 40-hr per week from Mon to Fri.""]","HIU Tower, 215 Điện Biên Phủ, Phường 15, Binh Thanh, Ho Chi Minh See map",TymeGlobal,TymeGlobal is building multi-country digital banks with high-tech and high-touch solutions.,"Product
151-300
Monday - Friday
Vietnam
No OT",Sign in to view,11 hours ago
"Data Analyst (Python, Java, SQL)","['Top 3 Reasons To Join Us Fast growing Proptech company\nYearly Performance bobus\nGood Environment & Great Team', 'Job Description ·       Understand business processes, applications and how data is stored and gathered.\n·       Develop and manage streaming data pipelines at enterprise scale.\n·       Build expertise on the data. Own data quality for various data flows.\n·       Design, build and manage data marts to satisfy our growing data needs.\n·       Support data marts to provide intuitive analytics for internal customers.\n·       Design and build new framework and automation tools to enable teams to consume and understand data faster.\n·       Use your expert coding skills across a number of languages like SQL, Python and Java to support data scientists.\n·       Interface with internal customers to understand data needs.\n·       Operate & manage, ensure the reliability of database.\n·       Support developers on optimizing queries, data structure.\n·       Collaborate with multiple teams and own the solution end-to-end.\n·       Maintain infrastructure for our data pipelines.\n·       Any other ad-hoc duties.', 'Your Skills and Experience ·       BS degree in Computer Science or a related technical field. MS or PhD degree is a plus.\n·       More than 2 years of advanced Python or Java development is necessary. Scala or Kotlin experience is a plus.\n·       Experience working with infrastructure-as-code systems like AWS Cloud Formation. DevOps experience is a plus.\n·       More than 2 years of SQL (such as PostgreSQL, Oracle, AWS Redshift, or Hive) experience is required. NoSQL experience is a plus.\n·       More than 2 years working with Linux OS. Knowledge of networks and cybersecurity is a plus.\n·       Experience with modern Map Reduce/workflow distributed systems, especially Apache Spark.\n·       Experience with Apache Kafka is a plus.\n·       Experience in custom ETL pipeline design, implementation and maintenance.\n·       Experience working with visualization tools like Tableau or Apache Superset.\n·       Ability in analyzing data to identify deliverables, gaps and inconsistencies.\n·       Ability in managing and communicating data mart plans to internal customers.\n·       Proficient in English communication is a must', ""Why You'll Love Working Here ·     Be able to fully participate in social insurance, health insurance and unemployment insurance in accordance with the laws and regulations of the Company. Insurance are based on full salary. In addition, the Company will provide employees with Bao Viet Health Insurance.\n·     Holiday bonus and lunch allowance.\n·     Increasing salary based on employees' KPIs and productivity.\n·     13th month salary bonus, annual productivity salary, ...\n·     Be able to join training courses and participate in soft skills development courses according to the Company's policy;\n·     Opportunity to learn and develop professional knowledge and skills.\n·     Increasing salary for qualified employees, as well as enthusiastic and long-term employees of the Company;\n·     Team building every year.""]","Số 2W Ung Văn Khiêm, Phường 25, Binh Thanh, Ho Chi Minh See map",IHOUZZ TECH,IHOUZZ TECHNOLOGY JOINT STOCK COMPANY,"Product
1-50
Monday - Friday
Vietnam
No OT",Sign in to view,12 hours ago
"Data Engineer (Python, Java, NodeJS)","['Top 3 Reasons To Join Us Fast growing Proptech company\nYearly Performance bobus\nGood Environment & Great Team', 'Job Description ·       The engineer is responsible for the data product’s implementation. Supervisor quality of product to make sure its functions meet requirements.\n·       Research new technology to apply for big data products. Continuously suggest advanced technical solutions to make the product best.\n·       Work with leader very closely to make sure each other opinions are aligned.\n·       Hand-on development of features through architect, design, and implementation.\n·       Code yourself, perform code review and code optimization for maximizing system performance.', 'Your Skills and Experience ·       2+ years of hands-on software development experience\n·       Has good knowledge about coding principles (SOLID, DRY)\n·       Expertise in object oriented analysis, design concepts and design patterns \n·       Has experience with writing testing - unit test, integration test\n·       Experience with NodeJS, Python, Java\n·       Experience working with multiple databases: relational database (PostgreSQL), NoSQL (MongoDB), graph database (Neo4j) and data warehouse (AWS Redshift)\n·       Experience with data pipeline/processing data (full and incremental loading)\n·       Basic skills in web development technologies like HTML, CSS, and JavaScript, ReactJS\n·       Experience working in a UNIX and/or LINUX environment\n·       Good understanding of how web applications work including knowledge of the HTTP protocol, request/response cycles and session management\nBonus points\n·       Experience with AWS Cloud\n·       Experience in designing database/data warehouse (relational and dimensional modeling)\n·       Experience working in Business Intelligence (BI)\n·       Interest in machine learning', ""Why You'll Love Working Here ·       Be able to fully participate in social insurance, health insurance and unemployment insurance in accordance with the laws and regulations of the Company. Insurance are based on full salary. In addition, the Company will provide employees with Bao Viet Health Insurance.\n·       Holiday bonus and lunch allowance.\n·       Increasing salary based on employees' KPIs and productivity.\n·       13th month salary bonus, annual productivity salary, ...\n·       Be able to join training courses and participate in soft skills development courses according to the Company's policy;\n·       Opportunity to learn and develop professional knowledge and skills.\n·       Increasing salary for qualified employees, as well as enthusiastic and long-term employees of the Company.\n·       Team building every year.""]","Số 2W Ung Văn Khiêm, Phường 25, Binh Thanh, Ho Chi Minh See map",IHOUZZ TECH,IHOUZZ TECHNOLOGY JOINT STOCK COMPANY,"Product
1-50
Monday - Friday
Vietnam
No OT",Sign in to view,12 hours ago
"Android Developer (Native, Java)","[""Top 3 Reasons To Join Us To do the next big thing\nYou're the soul of products, not a coder!\nTo solve the a more-than-10-million-users math"", ""Job Description At Lozi, we are creating many and many WOW stuffs to make a better world. We're a small team but love to make BIG things.\nWork closely with the Product, UX/UI, and Backend teams to design, build and extend consumer and/or partner-facing new products, platforms, and features.\nBuild reusable Android software components for the Lozi platform.\nCollaborate with QA on continuous integration and delivery (CI/CD) as well as another automated and manual testing to make sure our app releases are always worthy of five-star ratings.\nMonitor the performance of the live apps and continuously improve them on both code and experience levels.\nRaise the bar by reviewing each other's code, share knowledge, tips, and tricks, and generally help out - within and across teams.\nThis may include pair programming."", 'Your Skills and Experience Extensive Android app experience (1+ year experience)\nExtensive knowledge of core Computer Science concepts, including Object-Oriented programming, multi-threading, MVVM/VIPER, etc.\nSignificant experience architecting and designing applications\nExperience using source control and bug tracking software such as Git and Jira or Trello.\nLeveraging industry best practices for quality code, including unit tests, automated UI tests, API stubs/mocks, etc.\nProfound and broad knowledge of the Android SDK\nProducing responsive, beautiful UIs, as well as different screen size and various android version classes compatibility\nExperience with a wide breadth of data storage techniques, including SQLite, Realm(will be good), etc.\nUnderstanding API interactions from end-to-end, particularly with RESTful APIs.', ""Why You'll Love Working Here We call ourselves a tech-startup, and a product company, so there is nothing to worry about technology at Lozi.\nWe are always hungry for the better solutions in our product, as it grows up day by day, brings along more and more challenges.\n *Fact: There was a time when the amount of user increased by 3 times within just 2 months, a real flood, which forced us to handle the stress on the entire system ASAP - or let them die painfully.\n We used a lot of things to craft our product, and change quickly as the growth of it. For example, we'd used MongoDB and MySQL in the early stage, then it came overloads, so we changed to Postgre and Cassandra, along with Redis. We use Golang for backend, Objective-C & Swift2 for iOS app, Java for native Android app, NodeJS & ReactJS for our website.\n The thing is, we do not really stick to anything, so if you join us and you feel that we need to use the X, the Y or the Z, just speak out loud, your ideas are always welcomed, just prove that you're right!""]","70 Lu Gia, District 11, Ho Chi Minh See map",Lozi,Lozi,"Product
51-150
Monday - Saturday
Vietnam
No OT",Sign in to view,12 hours ago
