"Fullstack Engineer (PHP/Python, Laravel)","['Job Description We are looking for a senior full-stack engineer to build and manage our entire web infrastructure. Our project entails implementing our pre-approved UI, constructing our API, connecting the two, and setting up our servers infrastructure. This includes all associated areas such as database and architecture design.\nMain Responsibilities\nDesign and implementation of the overall web architecture and development\n“Pixel-perfect” implementation of our user interface\nDesign and deployment of our database\nEnsuring the entire stack is designed and built for speed and scalability\nDesign and construction of our REST API\nIntegrating our front-end UI with the constructed API/Backend applications\nDesign and implementation of continuous integration and deployment', 'Your Skills and Experience Must have:\nMain program languages are PHP/Python\n5+ years of experience developing large-scale applications using Micro service such as Laravel/Lumen/Django.\nHands-on experience with HTML5, CSS3, ECMAScript 6 (minimum).\nProficient knowledge on git version control, Docker\nIntegrating third party Payment Processing APIs & Webservices.\nDatabase design and management, including being up on the latest practices and associated version\nMySQL/PostgreSQL and MongoDB\nAppreciation for clean and well documented code\nBase in Ho Chi Minh city\nFluent in both English and Vietnamese\nNice to have:\nExperienced with Vue/React framework is a plus.\nExperience of developing application using AWS or relevant cloud platform is a plus .\nExperience implementing testing platforms and unit tests is a plus\nOutstanding problem-solving and organizational skills with a strong attention to detail\nThorough understanding of user experience and possibly even product strategy', ""Why You'll Love Working Here Attractive salary (depends on experience)\nBonus package (up to $3000)\nPersonal Health Insurance\nInternational working environment\n13th month salary\nOpportunity to gain experience in the attractive fintech industry\nBike parking\nAlways receive support from team if have personal issues\nAccess to network of mentors and talents""]","Lầu 6, Số 222, Toà nhà CirCO, Phường 7, , District 3, Ho Chi Minh See map",Ree-Pay,Ree-Pay is a financial technology company and one of the first Buy Now Pay Later (BNPL),"Product
1-50
Monday - Friday
Singapore
No OT",Sign in to view,8 hours ago
"Data Analyst (Python, Java, SQL)","['Top 3 Reasons To Join Us Fast growing Proptech company\nYearly Performance bobus\nGood Environment & Great Team', 'Job Description ·       Understand business processes, applications and how data is stored and gathered.\n·       Develop and manage streaming data pipelines at enterprise scale.\n·       Build expertise on the data. Own data quality for various data flows.\n·       Design, build and manage data marts to satisfy our growing data needs.\n·       Support data marts to provide intuitive analytics for internal customers.\n·       Design and build new framework and automation tools to enable teams to consume and understand data faster.\n·       Use your expert coding skills across a number of languages like SQL, Python and Java to support data scientists.\n·       Interface with internal customers to understand data needs.\n·       Operate & manage, ensure the reliability of database.\n·       Support developers on optimizing queries, data structure.\n·       Collaborate with multiple teams and own the solution end-to-end.\n·       Maintain infrastructure for our data pipelines.\n·       Any other ad-hoc duties.', 'Your Skills and Experience ·       BS degree in Computer Science or a related technical field. MS or PhD degree is a plus.\n·       More than 2 years of advanced Python or Java development is necessary. Scala or Kotlin experience is a plus.\n·       Experience working with infrastructure-as-code systems like AWS Cloud Formation. DevOps experience is a plus.\n·       More than 2 years of SQL (such as PostgreSQL, Oracle, AWS Redshift, or Hive) experience is required. NoSQL experience is a plus.\n·       More than 2 years working with Linux OS. Knowledge of networks and cybersecurity is a plus.\n·       Experience with modern Map Reduce/workflow distributed systems, especially Apache Spark.\n·       Experience with Apache Kafka is a plus.\n·       Experience in custom ETL pipeline design, implementation and maintenance.\n·       Experience working with visualization tools like Tableau or Apache Superset.\n·       Ability in analyzing data to identify deliverables, gaps and inconsistencies.\n·       Ability in managing and communicating data mart plans to internal customers.\n·       Proficient in English communication is a must', ""Why You'll Love Working Here ·     Be able to fully participate in social insurance, health insurance and unemployment insurance in accordance with the laws and regulations of the Company. Insurance are based on full salary. In addition, the Company will provide employees with Bao Viet Health Insurance.\n·     Holiday bonus and lunch allowance.\n·     Increasing salary based on employees' KPIs and productivity.\n·     13th month salary bonus, annual productivity salary, ...\n·     Be able to join training courses and participate in soft skills development courses according to the Company's policy;\n·     Opportunity to learn and develop professional knowledge and skills.\n·     Increasing salary for qualified employees, as well as enthusiastic and long-term employees of the Company;\n·     Team building every year.""]","Số 2W Ung Văn Khiêm, Phường 25, Binh Thanh, Ho Chi Minh See map",IHOUZZ TECH,IHOUZZ TECHNOLOGY JOINT STOCK COMPANY,"Product
1-50
Monday - Friday
Vietnam
No OT",Sign in to view,12 hours ago
"Data Engineer (Python, Java, NodeJS)","['Top 3 Reasons To Join Us Fast growing Proptech company\nYearly Performance bobus\nGood Environment & Great Team', 'Job Description ·       The engineer is responsible for the data product’s implementation. Supervisor quality of product to make sure its functions meet requirements.\n·       Research new technology to apply for big data products. Continuously suggest advanced technical solutions to make the product best.\n·       Work with leader very closely to make sure each other opinions are aligned.\n·       Hand-on development of features through architect, design, and implementation.\n·       Code yourself, perform code review and code optimization for maximizing system performance.', 'Your Skills and Experience ·       2+ years of hands-on software development experience\n·       Has good knowledge about coding principles (SOLID, DRY)\n·       Expertise in object oriented analysis, design concepts and design patterns \n·       Has experience with writing testing - unit test, integration test\n·       Experience with NodeJS, Python, Java\n·       Experience working with multiple databases: relational database (PostgreSQL), NoSQL (MongoDB), graph database (Neo4j) and data warehouse (AWS Redshift)\n·       Experience with data pipeline/processing data (full and incremental loading)\n·       Basic skills in web development technologies like HTML, CSS, and JavaScript, ReactJS\n·       Experience working in a UNIX and/or LINUX environment\n·       Good understanding of how web applications work including knowledge of the HTTP protocol, request/response cycles and session management\nBonus points\n·       Experience with AWS Cloud\n·       Experience in designing database/data warehouse (relational and dimensional modeling)\n·       Experience working in Business Intelligence (BI)\n·       Interest in machine learning', ""Why You'll Love Working Here ·       Be able to fully participate in social insurance, health insurance and unemployment insurance in accordance with the laws and regulations of the Company. Insurance are based on full salary. In addition, the Company will provide employees with Bao Viet Health Insurance.\n·       Holiday bonus and lunch allowance.\n·       Increasing salary based on employees' KPIs and productivity.\n·       13th month salary bonus, annual productivity salary, ...\n·       Be able to join training courses and participate in soft skills development courses according to the Company's policy;\n·       Opportunity to learn and develop professional knowledge and skills.\n·       Increasing salary for qualified employees, as well as enthusiastic and long-term employees of the Company.\n·       Team building every year.""]","Số 2W Ung Văn Khiêm, Phường 25, Binh Thanh, Ho Chi Minh See map",IHOUZZ TECH,IHOUZZ TECHNOLOGY JOINT STOCK COMPANY,"Product
1-50
Monday - Friday
Vietnam
No OT",Sign in to view,12 hours ago
20 Automation Tester (Java/Python/QA QC),"['Top 3 Reasons To Join Us 13th month salary and bonus\n18 leaves per year\nMedical benefits for family', 'Job Description Meeting with the software design team to discuss verification protocols.\nIdentifying software application weaknesses and target areas.\nSketching out ideas for automated software test procedures.\nReviewing software bug reports and highlighting problem areas.\nWriting automation scripts and implementing software applications.\nDesigning and installing software databases.\nTroubleshooting automation software and finalizing system procedures.\nIdentifying quality issues and creating test reports.\nCollaborating with the design team to solve application faults.', 'Your Skills and Experience Have 2 - 6 years of working experience\nGood programming experience in at least one of them (Perl/TCL/Python/Java/C/C++)\nGood application/product testing experience\nGood understanding and work experience in one of the OS skills (Unix/Linux/Windows)\nWorking experience of automation using JAVA with Selenium web driver/Appium/QTP or experience of Python automation using Robot/Pytest frameworks\nAutomation testing experience using frameworks TestNG, MAVEN.', ""Why You'll Love Working Here HCL Technologies is a next-generation global technology company that helps enterprises reimagine their businesses for the digital age. Our technology products, services, and engineering are built on four decades of innovation, with a world-renowned management philosophy, a strong culture of invention and risk-taking, and a relentless focus on customer relationships. With a worldwide network of R&D, innovation labs and delivery centers, and 176,000+ ‘Ideapreneurs’ working in 50 countries, HCL serves leading enterprises across key industries, including 250 of the Fortune 500 and 650 of the Global 2000. We offer an integrated portfolio of products, solutions, services, and IP through our Mode 1-2-3 strategy built around Digital, IoT, Cloud, Automation, Cybersecurity, Analytics, Infrastructure Management and Engineering Services, amongst others, to help enterprises reimagine their businesses for the digital age. \nAt HCL, we do not discriminate (and do not tolerate any discrimination) on the basis of race, religion, sex, colour, age, national origin, pregnancy, sexual orientation, physical ability, or any other characteristics. All employment decisions, from hiring to separation, will be based on business requirements, candidate’s merit and qualification, and in compliance with the local law.\nHCL Technologies has been named by Forbes as being ranked number 30 of The World’s Best Employers for 2020, honouring HCL among the top global employers in the world\nVisit us: www.hcltech.com""]","Me Linh Point Tower, 02 Ngo Duc Ke Street, Ben Nghe Ward, District 1, Ho Chi Minh See map",HCL Vietnam Company Limited,"A $10.17 Bn G2000 Organization with 168,977 employees and operations in 50 countries","Outsourcing
151-300
Monday - Friday
India
No OT",Sign in to view,"Leadvisors Tower Level 24, 643 Pham Van Dong Street, Co Nhue Ward, Nam Tu Liem, Ha Noi See map"
Big Data Engineer -Python/Java Up to $4k,"['Top 3 Reasons To Join Us 13th month salary and bonus\nChance to onsite 49 countries\nMedical benefits for family', 'Job Description As a Hadoop big data engineer, you will develop, operate and drive scalable and resilient data platform based on Hadoop ecosystem to address the business requirements:  \n• Ensure industry best practices around data pipelines, metadata management, data quality, data governance and data privacy \n• Design and implement business-specific large-scale data processing pipelines \n  \n• Work with complex data structures, manipulate, cleanse data, and perform transformations to make insights from data. \n• Responsible to Ingest data from files, streams, and databases. Process the data with PySpark, Kafka, Hive, Hive LLAP… \n• Develop efficient software code for multiple use cases leveraging Spark and Big Data Technologies for various use cases built on the platform \n• Provide high operational excellence guaranteeing high availability and platform stability.', 'Your Skills and Experience ➢ Must requirements:  \n• Experience in Hadoop ecosystem including HDFS, MapReduce, YARN, HBase, Zookeeper, Pig, Hive… \n• Experience in building large-scale data processing (batch-processing, stream processing)  \n• Experience with Apache Spark preferably in PySpark \n• Understanding of SLA and meeting Timelines for support activities \n➢ Good to Have: \n• Experience with Hadoop distributions such as Cloudera, HortonWorks, comparison and feasibility \n• Experience in Apache Kafka, Apache Beam \n• Experience with Data warehouse \n• Experience in ETL \n• Experience in Data management:  o Data Governance  o Data Architecture  o Data Modelling  o Data Quality  o Data integration \n• Experience in SQL and NoSQL Database \n• Good in programming language Python, Java \n• Experience with SRE, Patching & Automation: Kubernetes or Docker & Containerization • Experience working with Big Data on Cloud environment \n• Experience with Google Cloud  \n• Experience in Backend development using Java \n• Experience in Data API \n• Good to have Architecture knowledge or experience ']","Me Linh Point Tower, 02 Ngo Duc Ke Street, Ben Nghe Ward, District 1, Ho Chi Minh See map",HCL Vietnam Company Limited,"A $10.17 Bn G2000 Organization with 168,977 employees and operations in 50 countries","Outsourcing
151-300
Monday - Friday
India
No OT",Sign in to view,1 day ago
Fresh/Jr Back-end Dev (PHP/Python/Ruby),"['Top 3 Reasons To Join Us MacBook for work\nAnnual health check\nSummer and new year vacation', ""Job Description We are looking for Back-end Engineer who are willing to learn about Ruby, passionate about coding, solving problems and generating solutions that increase the performance and security of the application.\nMain development duties are as follows:\nResearch, design and implement features for our company's service based on business requirements\nImplement and execute unit tests to ensure features work correctly and without bugs\nFix bugs immediately if the system encounters errors on deployment or during release\nSupport other members of the team\nCommunicate well with QAQC and Frontend teams to develop our company's service\nResearch and implement solutions to optimize system performance\nReport working progress to VN and JP team leaders via meetings, JIRA and slack\nUpdate and suggest new technologies that improve our product\nPerform other related duties as required by supervisors and managers"", 'Your Skills and Experience 1. Language skills: English (some preferred, but not required) or Japanese (some preferred, but not required)\n2. Computer skills: Object-oriented programming such as Ruby, PHP or Python\n3. Working experience: 0.5 years+\n4. Other requirements:\nWorking experience with Ruby on Rails or other MVC framework\nKnowledge of service security and server-side performance issues\nStrong communication skills and ability to coordinate with other teams\n5. Preferable skills:\nBasic knowledge of Python\nExperience with agile system development\nInterest/Experience in the latest trends of IT\nExperience with a system development using cloud services, familiar with AWS', ""Why You'll Love Working Here ●      Having opportunities to touch the new trend of web development technology\n●      Working in a youthful, comfortable and allow to work with casual clothes environment\nOther benefits:\nMacBook for work\nAnnual health check\nCompany trip\nPaid leave\nSummer vacation\nNew year vacation (in January)\nCompany party in every 2 months\nTeam lunch twice a month\nBusiness seminar\nPacking allowance\nTransportation allowance\nBusiness trip in Japan after every 5 years.""]","Floor 7, 236/43/2 Dien Bien Phu, Ward 17, Binh Thanh, Ho Chi Minh See map",SEZAX VIETNAM,Sezax Corporation towards to the future,"Outsourcing
1-50
Monday - Friday
Japan
No OT",Sign in to view,1 day ago
"Java Backend Developer (NodeJS, Python)","['Top 3 Reasons To Join Us Work with iconic IT projects a\nBe part of a high-performing\nWork with the brightest minds', 'Job Description VinBrain is a company funded by VinGroup, the largest conglomerate in Vietnam by market capitalization. Our mission is to perform cutting-edge research and development of AI, Machine Learning, and Deep Learning technologies and products that will lead to improve healthcare system and quality of life. At VinBrain, we believe the greatest promise of Big Data lies in healthcare. We believe that by solving unique and challenging problems at the intersection of (medical) Big Data, AI, IoT, and IoP (Internet of People), we can improve the outcomes for patients around the globe. We have assembled seasoned researchers, engineers, and entrepreneurs from world-class companies such as Microsoft, Amazon, Adobe and Google to build the platform and services to achieve this. If you are motivated to be part of something special and to be a catalyst for improving lives and healthier communities, we want to talk to you.\nWho we are looking for: experienced backend engineers who will play a central role in building out both the large-scale intelligent products that runs in the cloud to improve patients and doctor experiences. As a member of our dynamic, agile team, you will have influence on defining product features, design and implement products features and drive operational excellence, and spearhead the engineering best practices that enable a high-quality product.\nDesign and implement core and software components for our system\nAnalyze and improve efficiency, scalability, and stability of various system resources\nOptimize machine learning algorithms for runtime and integrate them into products\nUnderstand clinician workflows, work closer with experts (doctors, specialists) and how our product can best fit into those workflows\nFamiliar and growing your own expertise in machine learning\nCollaborate effectively with product managers and applied scientists to build successful products\nBuild software framework that optimize and reuse in development life cycle\nPractice disciplined software engineering (e.g. automated testing, code reviews)\n ', ""Your Skills and Experience Bachelor's Degree in computer science or related field, or equivalent practical experience\nPossess strong skills in object-oriented software design and programming\nExperience in at least one of the programming languages: Java, JavaScript/TypeScript, NodeJS, React, Python\nExperience in REST API design and implementation\nExperience with a variety of SQL and NoSQL databases\nExperience working with systems dealing with large scale data storage, processing (real-time and batch), and analytics\nWorking knowledge with one or more of open source technologies: Hadoop, Yarn, Spark, Kafka, Storm, Hive, Docker, Kubernetes and source control tools such as Git\nExperience in mobile development on Android and iOS platforms. Familiar with native app development or cross-platform frameworks: Swift, Kotlin, ReactNative, Flutter\nExperience in a DevOps environment to deploy your own code is a plus"", ""Why You'll Love Working Here What Working at VinBrain offer\nVinBrain offers an attractive remuneration package commensurate with your work experience where you’ll be rewarded for your individual and team performance. Plus we offer:\n• Work with iconic IT projects and programs\n• Be part of a high-performing, agile, start up culture\n• Work with the brightest minds in the industry\nOther Benefits:\n• 13th month salary and other bonus policies of the Company.\n• Enjoy all the insurance regimes under the provisions of the Labor Law (Social Insurance, Health Insurance and unemployment insurance) and get the Health Insurance according to the position level, periodical health checks at Pretigious hospitals and medical Centers nationalwide.\n• Enjoy the preferential regime when using the services of Vingroup such as Vinpearl hotels; medical examination and treatment at Vinmec Hospital; shopping at Vinmart supermarkets and Retail shops; Children attend Vinschool educational system\n• Participate in professional training courses, improve professional skills.""]","Tầng 22 , Wework số 11 Đoàn Văn Bơ, District 4, Ho Chi Minh See map",VINBRAIN,VinBrain,"Product
51-150
Monday - Friday
Vietnam
No OT",Sign in to view,"Tầng 7, VinMec International Clinic, Times City, Hai Ba Trung, Ha Noi See map"
"Backend Developer (Java, C#, Python)","['Top 3 Reasons To Join Us Dự án Fintech lớn & thách thức\nChính sách đãi ngộ cực hấp dẫn\nCơ hội thăng tiến & phát triển', 'Job Description -  Phát triển các dịch vụ Backend cho ứng dụng Mobile\n-  Phát triển ứng dụng quản lý tập đoàn, ứng dụng Backend cho IoT, ứng dụng Realtime\n-  Tối ưu hóa hiệu năng ứng dụng\n-  Kiến trúc, viết mã một cách chuyên nghiệp\n-  Báo cáo kịp thời, chính xác, đầy đủ thông tin liên quan đến công việc cho Quản lý trực tiếp theo định kỳ hoặc đột xuất.', 'Your Skills and Experience - Tốt nghiệp Đại học trở lên ngành CNTT… hoặc các ngành có liên quan (ngành kỹ thuật S/W, ngành kỹ thuật công nghiệp…)\n- Làm việc nhóm hiệu quả với Git, GitFlow\n- Thành thảo viết mã OOP, một trong các ngôn ngữ lập trình: Java, C#, Typescript, python\n- Có kinh nghiệm làm việc với Cloud Function (Google, AWS) và deploy Cloud Function, API Gateway, Firebase\n- Sử dụng thuần thục các công cụ kiểm soát lỗi, profiling\n- Có kỹ năng trong việc viết các Unit Test, Automation Test, Integrated Test\n- Có nhiều hiểu biết liên quan tới dữ liệu và cơ sở dữ liệu: Firestore, SQL\n- Am hiểu cách sử dụng RESTful API có thể tự thiết lập server test API\n- Có kinh nghiệm với các dịch vụ Cloud của Google như Firebase, Cloud VM\n- Tối thiểu 2 năm kinh nghiệm làm backend\n- Có tinh thần học hỏi, tìm hiểu công nghệ mới và khả năng làm việc nhóm\n- Có kinh nghiệm chia tách cấu hình cho ứng dụng, theo môi trường chạy khác nhau.\nƯu tiên:\n- Sử dụng giao diện dòng lệnh tốt, và có thể viết ứng dụng dạng command-line (nhận tham số truyền vào, hiển thị trợ giúp)\n- Có thể viết ứng dụng web bằng các ngôn ngữ backend.\n- Hiểu biết về DevOps, viết script CI/CD, docker, viết script cho các task runner để tự động hóa một số công việc lặp đi lặp lại là lợi thế\n- Có khả năng deploy ứng dụng server\n- Am hiểu network protocol (Websocket, MQTT...) là lợi thế', ""Why You'll Love Working Here - Được hưởng mức thu nhập cạnh tranh theo năng lực.\n- Được đào tạo, bồi dưỡng về nghiệp vụ trong quá trình làm việc;\n- Các chế độ bảo hiểm theo quy định của Tập đoàn sau khi ký HĐLĐ chính thức.\n- Thưởng lễ, Tết theo quy định của Tập đoàn và kết quả SXKD của Tập đoàn.""]","Block 5, Lô I-3B-1, Đường N6, Khu công nghệ cao, Phường Tân Phú- Thành phố Thủ Đức, District 9, Ho Chi Minh See map",Sunshine Group,Sunshine Group,"Product
1000+
Monday - Friday
Vietnam
No OT",Sign in to view,1 day ago
Junior/Middle DevOps (Linux/Python),"['Top 3 Reasons To Join Us Gain very attractive salary and benefits\nBe a Developer, not a Coder\nWorking environment and high promotion opportunity', 'Job Description In charge of the existing scalable platform run on AWS Infrastructure which serves hundreds of customers.\nBuild & maintain the CI/CD pipelines for microservices across all environments including dev, QA, UAT, stag ...\nWork closely with software engineers to understand the architecture and technologies stack to provide solutions for automating most of the processes for rapid delivery.\nDesign and build operational tooling, monitoring dashboard that are helpful for product and development teams.\nProvide supports for troubleshooting, root-cause analysis and maintenance of production system.\nProvide on-call support for Infrastructure related issues as well scheduled maintenance jobs e.g. DR, server patching ...', 'Your Skills and Experience At least 1+ years of experiences of following areas: DevOps, CI/CD, AWS\nKnowledge with Linux / Unix based system\nExperience with one of following language: Bash, Python, ...\nExperienced with Cloud Native (AWS, GCP or Azure).\nExperienced with CI/CD automation tool: GitLab CI, ...\nHave experienced with Database include SQL or NoSQL\nHave growth mindset and always give a hand where needed.\nAbility to provide after-hours support when necessary\nProblem-solving attitude.\nHave continuous improvement mindset and support others to get the jobs done.', ""Why You'll Love Working Here Very attractive salary with 13th-month salary, signing & performance bonus\nMon-Fri flexible working time\nSponsored education of tech talks, online or short courses you like to learn\nPermanent employment and continuous development in your career path\nWe have more benefits for you:\n14 annual leaves\nYearly check-up, plus premium healthcare\nYou will own your new laptop after 1 year\nYou are supported for self-improved learning courses\nWe work in happiness. Genuine work/life balance served here! Cool activities all the time: beer time, quarterly meeting, team-building, company trip, charity events, sport clubs, etc.\nYou think you’ve got what it takes? Apply now!""]","Lầu 22, Opal Office Tower 92 Nguyễn Hữu Cảnh, P. 22, Binh Thanh, Ho Chi Minh See map",FINBASE,FINBASE,"Product
51-150
Monday - Friday
Vietnam
No OT",Sign in to view,1 day ago
"Cloud Engineers (Python, Linux)","['Top 3 Reasons To Join Us Attractive and competitive salary\nWork-from-home with full benefits during Covid-19\nEffective online training for newcomers', 'Job Description Exciting, new opportunities exist in our development team responsible for a large-scale system from a world-leading company. We are looking for Cloud Engineers to work on the project Life Cycle Management, which includes deployment, installation, integration, backup and restoration.\nBy joining our team, you will have a chance to collaborate with senior engineers from Australia, Sweden and other countries to:\nBuild tools, and develop features that manage and deploy the applications in Cloud infrastructures (OpenStack, VMware)\nPerform pre-studies, make prototypes and provide work instructions based on different kinds of Cloud infrastructures\nAutomate the installation and deployment\nDesign, develop, test and maintain features\nWork with Continuous Integration (CI) systems (Jenkin, Travis CI, etc)\nYou will live a true Agile & Lean culture where employees are empowered at all levels to collaborate and take ownership. At DEK Vietnam, we constantly run the Scrum mentorship and Agile Coaching programs to help build up your career path.', 'Your Skills and Experience Must have:\nA University Qualification or College degree in Software Engineering or related fields\nExperience with Bash script or Python\nFamiliar with Linux environment\nBasic knowledge about Network configuration\nNice to have:\nFamiliar with version control tools (Git, SVN, etc)\nExperienced with Cloud environment', ""Why You'll Love Working Here At DEK Technologies you will find yourself in an exciting career with:\n Attractive, competitive salary and incentives\nOpportunities for short and long-term training/work overseas\nAn excellent working environment in developing tomorrow’s features\nOpen and honest culture where people are valued, treated fairly, trusted and empowered\nTraining and career development opportunities\n40 flexible working hours per week from Monday to Friday\nEnglish classes 3 hours a week with qualified foreign teachers\nExtra 24/7 Health and Accident Insurance\nAnnual health check up\nAnnual company trip\nAnnual family day\nSport clubs\nMusic club\nYoga club\nPiano club""]","121 Le Loi, District 1, Ho Chi Minh See map",DEK Technologies,An Australian outsourcing design company with experience in all aspects of project life cycle,"Outsourcing
301-500
Monday - Friday
Australia
No OT",Sign in to view,1 day ago
